Module,Feature,Screen ID,Screen Name,Suggested Route,Roles,Priority,Orientation,Entry Points,Primary CTA,Next / Exit,Required States,Key Components,UX Notes
Public / Buyer,Home & discovery,B-001,Home / discovery,/,"Guest, Buyer",MVP,Desktop + Mobile,"Direct visit, logo, marketing links",Shop now,Shop/search/category/product,"Loading hero, empty featured, personalization unavailable","Hero, search, category chips, featured products, trust strip","Make search dominant; keep CTAs simple: Shop now, Sell on Swyftly."
Public / Buyer,Home & discovery,B-002,Shop index,/shop,"Guest, Buyer",MVP,Desktop + Mobile,"Home CTA, nav shop",Apply filter or open product,Category/search/product,"Skeleton grid, no products, filter loading","Product grid, filter chips, sort, pagination/infinite scroll",Use sticky filter/sort controls on mobile.
Public / Buyer,Category browsing,B-003,Category landing,/shop/:categorySlug,"Guest, Buyer",MVP,Desktop + Mobile,"Category card, nav menu",Filter products,Product detail/search,"Empty category, subcategory loading","Category header, subcategory chips, products, filter drawer",Fashion categories need filters visible above the fold.
Public / Buyer,Search,B-004,Search results,/search?q=,"Guest, Buyer",MVP,Desktop + Mobile,"Search bar, AI assistant, category page",Open product,"Product detail, refined search","No results, typo suggestion, loading","Search bar, result count, filters, sort, product cards",Preserve filters in URL query params.
Public / Buyer,Search,B-005,Filter drawer / filter sidebar,/search?filters=,"Guest, Buyer",MVP,Desktop + Mobile,Search/category results,Apply filters,Updated results,"No matching filters, loading counts","Filter groups, chips, price slider, size/colour/brand facets","On mobile, filter drawer should show result count and sticky Apply button."
Public / Buyer,Product shopping,B-006,Product detail,/product/:productSlug,"Guest, Buyer",MVP,Desktop + Mobile,"Product card, search, recommendation",Add to cart,Cart drawer or checkout,"Out of stock, variant unavailable, seller unavailable","Image gallery, variant picker, price, seller card, delivery/returns, reviews",Make size/variant selection mandatory before Add to cart.
Public / Buyer,Product shopping,B-007,Product image gallery modal,/product/:productSlug?gallery=1,"Guest, Buyer",MVP,Desktop + Mobile,Product image click/swipe,Close gallery,Product detail,"Image loading, broken image","Zoomable gallery, thumbnails, swipe controls",Mobile gallery should be full-screen with swipe and thumb strip.
Public / Buyer,Seller storefront,B-008,Public seller storefront,/store/:storeSlug,"Guest, Buyer",MVP,Desktop + Mobile,"Product detail, seller card",Follow seller / Shop products,"Product detail, category/filter","No products, seller suspended","Store hero, seller rating, products, policies",Show verified status and delivery/return policy summary.
Public / Buyer,Wishlist,B-009,Wishlist,/account/wishlist,Buyer,MVP,Desktop + Mobile,"Heart icon, account nav",Move to cart,Product detail/cart,"Empty wishlist, product unavailable","Wishlist product cards, remove, move to cart","Allow guest wishlist locally, prompt login to persist."
Public / Buyer,Recently viewed,B-010,Recently viewed,/account/recently-viewed,Buyer,Later,Desktop + Mobile,"Account nav, product pages",Open product,Product detail,Empty recently viewed,Product rail/grid,Helpful for product discovery but not MVP-critical.
